pipeline_id,week_cutoff,feature_set,preprocessing,model,model_group,evaluation_method,threshold,seed,accuracy_mean,precision_mean,recall_mean,f1_mean,auc_mean,accuracy_std,precision_std,recall_std,f1_std,auc_std
GBM_Task5_style,4,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,GBM_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7142,0.6823,0.7384,0.7093,0.7924,0.0052,0.0051,0.0062,0.0054,0.0053
RF_weighted_Task5_style,4,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7056,0.6785,0.7152,0.6964,0.7808,0.004,0.0036,0.007,0.0048,0.0067
KNN_Task5_style,4,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,KNN_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.6623,0.6457,0.6307,0.6381,0.7137,0.0067,0.0083,0.0049,0.0061,0.0073
LR_weighted_onehot,6,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,LR_weighted_onehot,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7159,0.7007,0.6948,0.6978,0.7888,0.0031,0.0041,0.0043,0.0032,0.0033
RandomForest_ordinal,6,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,RandomForest_ordinal,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7231,0.6922,0.7444,0.7173,0.801,0.0045,0.0039,0.007,0.0051,0.0044
GradientBoosting_ordinal,6,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7287,0.695,0.758,0.7251,0.8073,0.0037,0.0031,0.0077,0.0046,0.0047
RF_calibrated_Task5_style,6,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7236,0.6803,0.7821,0.7276,0.803,0.0035,0.0042,0.0028,0.0029,0.0044
GBM_Task5_style,6,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,GBM_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7276,0.6939,0.7568,0.724,0.8072,0.0058,0.0061,0.0068,0.0057,0.0055
RF_weighted_Task5_style,6,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.721,0.6922,0.7363,0.7136,0.7983,0.0038,0.0042,0.0047,0.0039,0.0045
KNN_Task5_style,6,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,KNN_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.6731,0.656,0.6466,0.6513,0.7261,0.0071,0.0093,0.006,0.0063,0.0067
LR_weighted_onehot,8,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,LR_weighted_onehot,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7268,0.7129,0.7054,0.7091,0.8044,0.0025,0.0041,0.0047,0.0026,0.0036
RandomForest_ordinal,8,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,RandomForest_ordinal,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7382,0.7047,0.767,0.7345,0.8214,0.0054,0.0071,0.009,0.0053,0.0065
GradientBoosting_ordinal,8,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.745,0.7078,0.7832,0.7436,0.8268,0.0063,0.0076,0.0064,0.0057,0.0051
RF_calibrated_Task5_style,8,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7383,0.6905,0.8078,0.7445,0.8216,0.0054,0.006,0.0081,0.0052,0.005
GBM_Task5_style,8,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,GBM_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7456,0.7084,0.7836,0.7441,0.8272,0.0033,0.0049,0.0088,0.0037,0.0057
RF_weighted_Task5_style,8,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7373,0.7057,0.761,0.7322,0.8188,0.006,0.0082,0.0068,0.0052,0.0065
KNN_Task5_style,8,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,KNN_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.6827,0.6658,0.6584,0.6621,0.7413,0.0049,0.0068,0.0034,0.004,0.0067
