week,week_cutoff,pipeline_id,model,model_group,feature_set,preprocessing,evaluation_method,threshold,seed,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
week2,2,KNN_Task5_style,KNN_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6504,0.008,0.6352,0.009,0.6094,0.0082,0.622,0.0084,0.6936,0.0076
week4,4,LR_weighted_onehot,LR_weighted_onehot,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7023,0.0031,0.6875,0.0034,0.6771,0.0033,0.6822,0.0033,0.7725,0.0044
week4,4,RandomForest_ordinal,RandomForest_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.708,0.0051,0.6792,0.0043,0.7228,0.0081,0.7003,0.006,0.7831,0.0065
week4,4,GradientBoosting_ordinal,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7142,0.0055,0.6825,0.0055,0.7379,0.0071,0.7091,0.0057,0.7923,0.0052
week4,4,RF_calibrated_Task5_style,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7104,0.0068,0.6692,0.0074,0.7644,0.0067,0.7136,0.006,0.7881,0.0055
week4,4,GBM_Task5_style,GBM_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7142,0.0052,0.6823,0.0051,0.7384,0.0062,0.7093,0.0054,0.7924,0.0053
week4,4,RF_weighted_Task5_style,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7056,0.004,0.6785,0.0036,0.7152,0.007,0.6964,0.0048,0.7808,0.0067
week4,4,KNN_Task5_style,KNN_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6623,0.0067,0.6457,0.0083,0.6307,0.0049,0.6381,0.0061,0.7137,0.0073
week6,6,LR_weighted_onehot,LR_weighted_onehot,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7159,0.0031,0.7007,0.0041,0.6948,0.0043,0.6978,0.0032,0.7888,0.0033
week6,6,RandomForest_ordinal,RandomForest_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7231,0.0045,0.6922,0.0039,0.7444,0.007,0.7173,0.0051,0.801,0.0044
week6,6,GradientBoosting_ordinal,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7287,0.0037,0.695,0.0031,0.758,0.0077,0.7251,0.0046,0.8073,0.0047
week6,6,RF_calibrated_Task5_style,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7236,0.0035,0.6803,0.0042,0.7821,0.0028,0.7276,0.0029,0.803,0.0044
week6,6,GBM_Task5_style,GBM_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7276,0.0058,0.6939,0.0061,0.7568,0.0068,0.724,0.0057,0.8072,0.0055
week6,6,RF_weighted_Task5_style,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.721,0.0038,0.6922,0.0042,0.7363,0.0047,0.7136,0.0039,0.7983,0.0045
week6,6,KNN_Task5_style,KNN_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6731,0.0071,0.656,0.0093,0.6466,0.006,0.6513,0.0063,0.7261,0.0067
week8,8,LR_weighted_onehot,LR_weighted_onehot,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7268,0.0025,0.7129,0.0041,0.7054,0.0047,0.7091,0.0026,0.8044,0.0036
week8,8,RandomForest_ordinal,RandomForest_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7382,0.0054,0.7047,0.0071,0.767,0.009,0.7345,0.0053,0.8214,0.0065
week8,8,GradientBoosting_ordinal,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.745,0.0063,0.7078,0.0076,0.7832,0.0064,0.7436,0.0057,0.8268,0.0051
week8,8,RF_calibrated_Task5_style,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7383,0.0054,0.6905,0.006,0.8078,0.0081,0.7445,0.0052,0.8216,0.005
week8,8,GBM_Task5_style,GBM_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7456,0.0033,0.7084,0.0049,0.7836,0.0088,0.7441,0.0037,0.8272,0.0057
week8,8,RF_weighted_Task5_style,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7373,0.006,0.7057,0.0082,0.761,0.0068,0.7322,0.0052,0.8188,0.0065
week8,8,KNN_Task5_style,KNN_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6827,0.0049,0.6658,0.0068,0.6584,0.0034,0.6621,0.004,0.7413,0.0067
